日期,北京,上海,郑州,武汉,西安,沈阳
2020/1/1,62,54,73,73,117,109
2020/1/2,80,82,124,105,149,214
2020/1/3,82,72,192,130,209,204
2020/1/4,74,88,249,142,252,207
2020/1/5,83,63,276,80,152,198
2020/1/6,75,59,172,55,125,90
2020/1/7,30,67,95,47,102,140
2020/1/8,40,59,118,54,149,59
2020/1/9,63,58,79,42,234,107
2020/1/10,43,45,133,42,190,145
2020/1/11,32,49,183,55,130,62
2020/1/12,42,147,179,84,155,97
2020/1/13,31,155,238,68,213,89
2020/1/14,39,156,228,142,118,132
2020/1/15,72,59,128,120,204,165
2020/1/16,60,44,124,82,220,147
2020/1/17,97,59,195,62,247,163
2020/1/18,207,92,186,77,238,200
2020/1/19,60,113,65,138,68,84
2020/1/20,31,173,66,120,80,68
2020/1/21,60,128,165,120,124,58
2020/1/22,89,104,213,108,210,129
2020/1/23,77,49,258,107,277,99
2020/1/24,102,62,281,40,266,84
2020/1/25,193,35,115,63,278,315
2020/1/26,202,39,125,43,201,257
2020/1/27,208,40,103,65,97,138
2020/1/28,221,110,104,77,77,235
2020/1/29,94,92,125,74,87,115
2020/1/30,64,95,137,75,97,63
2020/1/31,62,68,125,97,155,201
2020/2/1,36,57,189,89,185,110
2020/2/2,45,52,107,87,83,52
2020/2/3,34,82,113,99,64,55
2020/2/4,34,46,144,87,127,32
2020/2/5,38,45,80,128,168,31
2020/2/6,62,40,64,52,95,107
2020/2/7,97,41,92,26,99,67
2020/2/8,82,58,120,33,85,85
2020/2/9,160,104,72,45,142,149
2020/2/10,163,67,68,60,134,208
2020/2/11,232,45,72,40,172,103
2020/2/12,257,68,87,39,182,57
2020/2/13,247,73,69,35,172,93
2020/2/14,69,39,67,43,126,38
2020/2/15,35,30,38,27,57,63
2020/2/16,37,40,44,39,45,79
2020/2/17,36,42,46,44,45,38
2020/2/18,42,42,58,52,78,84
2020/2/19,79,55,50,43,92,112
2020/2/20,143,48,138,58,96,120
2020/2/21,100,46,88,69,86,97
2020/2/22,40,93,78,60,87,39
2020/2/23,58,56,74,60,104,51
2020/2/24,83,75,115,58,98,51
2020/2/25,70,65,144,100,158,40
2020/2/26,53,44,88,62,150,43
2020/2/27,40,47,70,46,33,62
2020/2/28,88,52,75,20,48,59
2020/2/29,114,47,94,40,59,74
2020/3/1,38,40,85,40,68,53
2020/3/2,36,48,70,38,41,58
2020/3/3,39,41,60,33,52,77
2020/3/4,38,47,60,50,75,49
2020/3/5,54,50,83,70,92,57
2020/3/6,113,62,94,58,110,64
2020/3/7,87,82,124,54,117,60
2020/3/8,128,55,135,39,102,67
2020/3/9,70,43,176,62,110,72
2020/3/10,39,48,78,51,97,45
2020/3/11,55,85,93,60,83,43
2020/3/12,41,69,78,67,93,57
2020/3/13,40,42,60,78,92,50
2020/3/14,43,46,64,65,97,54
2020/3/15,45,70,57,66,77,58
2020/3/16,61,44,76,68,68,71
2020/3/17,56,76,66,75,61,66
2020/3/18,89,104,76,63,78,84
2020/3/19,46,63,153,74,121,50
2020/3/20,60,64,109,80,110,85
2020/3/21,72,80,118,63,96,58
2020/3/22,62,54,88,78,91,127
2020/3/23,53,47,78,80,88,56
2020/3/24,70,54,91,54,82,119
2020/3/25,153,66,64,43,87,65
2020/3/26,39,69,66,40,172,53
2020/3/27,40,43,39,28,34,48
2020/3/28,39,39,57,39,43,55
2020/3/29,63,37,46,33,35,66
2020/3/30,92,40,58,34,69,92
2020/3/31,87,46,77,36,58,80
2020/4/1,42,71,59,44,81,56
2020/4/2,42,58,90,55,50,78
2020/4/3,47,61,92,63,48,111
2020/4/4,102,95,100,75,58,62
2020/4/5,69,62,104,98,72,118
2020/4/6,86,46,102,72,67,109
2020/4/7,77,75,94,87,76,62
2020/4/8,55,80,89,83,70,73
2020/4/9,49,65,79,100,86,77
2020/4/10,70,62,36,65,68,79
2020/4/11,51,48,73,43,59,148
2020/4/12,54,73,68,70,71,93
2020/4/13,59,85,87,72,98,160
2020/4/14,104,112,93,74,79,133
2020/4/15,95,86,90,76,89,165
2020/4/16,63,104,88,83,87,120
2020/4/17,78,101,90,75,97,70
2020/4/18,75,75,78,53,61,108
2020/4/19,94,60,107,82,68,139
2020/4/20,45,100,67,57,77,59
2020/4/21,42,45,70,47,66,154
2020/4/22,43,63,76,70,69,60
2020/4/23,45,65,84,70,74,60
2020/4/24,91,98,75,67,69,78
2020/4/25,52,95,84,72,68,58
2020/4/26,50,65,86,74,63,65
2020/4/27,76,55,91,83,101,72
2020/4/28,131,59,101,96,101,95
2020/4/29,152,93,130,110,97,105
2020/4/30,202,130,133,67,111,100
2020/5/1,204,59,95,89,99,125
2020/5/2,133,88,197,78,120,104
2020/5/3,80,132,120,87,133,42
2020/5/4,50,77,93,75,145,48
2020/5/5,67,56,70,46,57,68
2020/5/6,122,38,79,51,61,65
2020/5/7,100,60,47,51,36,65
2020/5/8,55,38,60,40,88,50
2020/5/9,49,62,40,47,44,50
2020/5/10,55,103,89,69,64,125
2020/5/11,88,130,74,82,63,85
2020/5/12,87,100,85,86,58,53
2020/5/13,118,69,92,102,78,82
2020/5/14,116,81,101,75,58,107
2020/5/15,57,57,130,73,99,53
2020/5/16,58,90,98,80,70,44
2020/5/17,66,95,144,80,90,60
2020/5/18,48,99,74,69,75,57
2020/5/19,90,92,141,121,66,29
2020/5/20,130,134,114,69,74,59
2020/5/21,94,88,142,51,99,55
2020/5/22,78,78,161,100,124,47
2020/5/23,43,57,129,127,78,55
2020/5/24,63,106,98,120,54,75
2020/5/25,36,73,105,51,77,51
2020/5/26,61,46,119,90,80,50
2020/5/27,49,74,82,115,63,62
2020/5/28,131,157,129,83,88,75
2020/5/29,145,87,96,60,100,78
2020/5/30,112,59,119,66,95,105
2020/5/31,44,111,122,70,115,72
2020/6/1,110,129,120,100,77,46
2020/6/2,99,130,101,60,58,60
2020/6/3,134,58,118,88,93,83
2020/6/4,68,89,140,67,126,47
2020/6/5,101,41,140,76,175,54
2020/6/6,146,46,159,84,95,90
2020/6/7,202,67,126,80,113,117
2020/6/8,136,52,143,93,52,126
2020/6/9,70,30,64,51,36,104
2020/6/10,125,55,133,45,115,60
2020/6/11,111,72,55,57,71,72
2020/6/12,168,119,84,49,75,93
2020/6/13,124,127,171,33,61,113
2020/6/14,77,58,108,34,119,53
2020/6/15,97,59,77,63,59,46
2020/6/16,158,72,80,53,38,70
2020/6/17,96,66,50,49,44,193
2020/6/18,109,47,110,41,116,59
2020/6/19,123,85,99,60,56,67
2020/6/20,148,70,95,38,64,163
2020/6/21,131,44,102,30,61,153
2020/6/22,129,44,54,43,41,115
2020/6/23,125,52,97,35,62,64
2020/6/24,89,54,150,95,135,49
2020/6/25,84,54,142,126,142,64
2020/6/26,102,77,80,68,53,37
2020/6/27,140,45,125,38,40,74
2020/6/28,121,48,73,35,33,119
2020/6/29,60,38,134,37,84,103
2020/6/30,89,111,107,92,117,71
2020/7/1,146,75,121,90,66,68
2020/7/2,97,47,119,43,136,85
2020/7/3,69,46,92,77,119,90
2020/7/4,109,43,85,44,113,74
2020/7/5,90,44,117,34,137,58
2020/7/6,110,53,167,35,180,50
2020/7/7,75,91,155,47,155,65
2020/7/8,129,52,124,35,115,94
2020/7/9,50,44,108,100,162,90
2020/7/10,65,35,102,88,57,130
2020/7/11,113,43,73,29,43,148
2020/7/12,113,109,57,32,80,136
2020/7/13,81,49,90,49,90,70
2020/7/14,94,53,62,72,41,110
2020/7/15,109,43,100,28,81,127
2020/7/16,127,43,95,38,39,104
2020/7/17,71,43,60,65,42,131
2020/7/18,59,83,94,38,37,71
2020/7/19,48,78,72,56,75,39
2020/7/20,152,50,122,120,85,60
2020/7/21,116,110,75,53,38,179
2020/7/22,139,120,53,61,36,156
2020/7/23,120,91,113,74,48,165
2020/7/24,112,61,139,87,51,97
2020/7/25,125,156,114,87,36,139
2020/7/26,57,120,61,33,90,94
2020/7/27,78,56,72,35,130,42
2020/7/28,95,67,91,51,76,57
2020/7/29,108,60,90,100,90,51
2020/7/30,101,38,83,48,67,91
2020/7/31,96,29,68,76,101,84
2020/8/1,67,60,77,72,67,41
2020/8/2,110,61,64,56,99,42
2020/8/3,92,28,67,50,57,85
2020/8/4,81,28,40,105,74,70
2020/8/5,52,31,39,70,100,70
2020/8/6,98,78,37,41,50,65
2020/8/7,92,93,33,37,30,72
2020/8/8,100,76,100,44,85,91
2020/8/9,110,95,130,54,150,36
2020/8/10,98,67,117,47,120,82
2020/8/11,135,68,72,60,54,112
2020/8/12,60,75,63,40,42,96
2020/8/13,68,102,53,47,80,36
2020/8/14,118,115,54,43,43,87
2020/8/15,50,71,44,53,30,69
2020/8/16,55,95,56,62,30,76
2020/8/17,67,54,77,64,35,48
2020/8/18,42,49,67,93,41,39
2020/8/19,28,57,43,59,46,37
2020/8/20,38,58,32,56,36,30
2020/8/21,85,39,43,55,47,45
2020/8/22,95,34,59,111,52,88
2020/8/23,97,34,58,84,56,105
2020/8/24,62,32,48,71,62,32
2020/8/25,107,40,86,60,98,100
2020/8/26,108,35,130,81,102,50
2020/8/27,62,97,130,120,112,22
2020/8/28,94,40,130,124,107,32
2020/8/29,97,43,122,111,59,32
2020/8/30,87,43,144,128,35,95
2020/8/31,27,27,59,108,62,49
2020/9/1,46,33,87,96,54,60
2020/9/2,36,33,96,101,82,42
2020/9/3,33,132,73,113,84,24
2020/9/4,48,131,94,82,84,36
2020/9/5,95,89,87,133,77,59
2020/9/6,158,80,150,126,82,109
2020/9/7,55,179,158,112,106,50
2020/9/8,34,146,138,150,102,22
2020/9/9,40,115,106,116,72,27
2020/9/10,27,73,107,51,85,23
2020/9/11,22,49,60,72,95,47
2020/9/12,41,49,76,80,81,35
2020/9/13,64,63,90,85,79,32
2020/9/14,60,52,89,45,50,53
2020/9/15,48,64,85,35,69,50
2020/9/16,26,68,69,43,68,42
2020/9/17,33,50,85,49,75,32
2020/9/18,37,67,85,83,72,39
2020/9/19,71,95,98,67,78,33
2020/9/20,48,67,90,42,36,49
2020/9/21,80,62,50,38,33,57
2020/9/22,39,61,80,38,40,60
2020/9/23,49,65,97,48,61,58
2020/9/24,54,59,106,75,65,56
2020/9/25,75,53,91,102,81,62
2020/9/26,101,45,109,72,67,58
2020/9/27,92,46,75,98,59,84
2020/9/28,109,46,62,92,74,78
2020/9/29,24,44,83,54,68,34
2020/9/30,33,53,60,88,82,56
2020/10/1,60,83,94,98,56,60
2020/10/2,29,86,59,63,30,33
2020/10/3,45,37,35,24,35,55
2020/10/4,26,46,59,31,52,29
2020/10/5,29,40,62,44,54,32
2020/10/6,52,43,68,37,55,67
2020/10/7,84,46,54,47,53,73
2020/10/8,114,53,77,66,53,85
2020/10/9,144,51,99,78,67,61
2020/10/10,185,56,105,88,80,72
2020/10/11,62,59,98,79,83,50
2020/10/12,34,59,72,65,53,53
2020/10/13,36,52,78,70,44,52
2020/10/14,36,60,34,59,35,51
2020/10/15,68,45,58,34,50,65
2020/10/16,35,53,69,36,40,59
2020/10/17,55,53,84,50,68,64
2020/10/18,64,56,80,78,68,64
2020/10/19,72,50,79,73,67,97
2020/10/20,155,74,72,80,70,94
2020/10/21,98,102,98,49,96,89
