总股本,每股收益,每股净资产,每股现金流量
3.21,1.82,11.21,3.42
5.37,0.7,3.96,2.99
8.18,0.94,7.85,3.05
2.74,1.95,10.24,3.36
4.84,0.9,11.52,3.56
6.42,0.62,7.83,3.33
5.26,1.16,9.84,3.58
4.52,1.19,5.48,3.3
8.97,-0.01,10.28,3.57
4.72,1.3,10.6,3.5
5.84,1.16,10.44,3.38
6.96,0.32,6.43,3.13
4.21,1.93,12.26,3.75
2.92,1.4,8.34,3.38
8.56,-0.01,7.73,3.37
1.38,2.81,10.99,3.39
6.76,0.91,12.04,3.54
5.07,0.71,7.4,2.84
7.03,0.12,11.39,3.7
5.86,1.35,11.28,3.5
9.18,-0.14,9.2,3.18
2.6,2.15,9.79,3.71
8.18,-0.16,10.5,3.47
8.91,0.41,10.29,3.45
5.01,1.15,12.86,3.63
0.1,2.91,15.62,4.1
5.95,0.79,10.64,3.19
3.81,1.8,13.17,3.56
6.58,0.49,6.61,3.48
5.58,1.62,11.93,3.72
6.48,1.11,7.87,3.28
5.64,0.33,7.99,3.6
7.15,0.23,6.41,3.23
4.43,1.31,13.27,3.89
3.45,1.13,10.33,3.69
3.81,1.21,10.27,3.29
1.55,2.11,11.34,3.54
3.19,1.88,12.19,3.62
3.88,1.53,11.04,3.69
4.51,1.12,9.33,3.77
4.23,1.36,6.52,3.16
1.08,3.31,14.05,3.33
3.32,2.05,8.96,3.11
8.81,0.03,8.65,3.14
6.25,0.95,10.39,3.3
8.98,-0.36,7.01,3.2
4.39,1.37,9.31,3.15
4.82,1.28,12.69,3.61
4.63,1.11,6.18,3.1
2.6,1.8,12.61,3.6
3.32,1.84,10.46,3.47
9.13,-0.37,7.31,3.42
3.88,1.45,10.39,3.41
7.55,0.19,6.42,2.78
2.9,2.08,15.32,3.82
1.07,2.59,12.64,3.5
4.35,1.26,9.51,3.44
6.87,0.42,12.99,3.36
7.28,0.67,10.68,3.3
8.34,-0.03,8.35,3.1
1.42,2.73,13.39,3.37
9.06,-0.25,7.73,3.46
3.59,1.51,10.51,3.92
5.32,0.45,7.55,3.15
6.01,0.6,11.08,3.52
3.36,1.26,11.51,3.72
1,3.05,14.99,3.98
4.04,1.59,11.04,3.43
5.17,1.24,13.08,3.47
3.21,1.72,8.72,3.52
3.16,0.93,12.97,3.56
5.66,0.9,12.7,3.76
4.72,1.23,12.32,3.68
5.87,0.48,6.35,3.59
4.89,1.24,11.03,3.35
3.19,2.22,10.84,3.44
7.61,0.25,7.75,3.4
6.54,0.93,8.65,3.34
7.11,0.31,3.77,3.12
2.18,2.09,11.15,3.23
6.99,1.08,8.02,3.33
1.61,2.46,13.19,4.18
3.93,1.87,9.95,3.7
2.26,1.86,11.56,3.65
1.58,3.01,17.21,3.82
8.64,0.42,6.43,3.03
3.69,1.92,8.52,3.12
4.43,1.32,10.78,3.3
4.23,1.78,9.66,3.34
5.77,0.85,7.8,3.23
8.2,-0.27,9.2,3.38
8.36,0.19,8.7,3.17
2.63,1.95,14.49,3.66
2.28,1.97,9.77,3.24
1.97,2.59,13.97,3.95
2.49,1.86,11.67,3.36
8.92,-0.05,5.39,2.84
5.02,0.5,7.13,3.08
3.31,1.28,10.17,3.51
3.8,1.33,10.94,3.67
7.15,0.32,7.72,3.49
5.52,0.86,10.96,3.43
4.37,1.61,9.78,3.19
3.5,1.07,8.97,3.55
3.28,1.93,12.29,3.51
9.1,0.01,10.51,3.87
6.88,0.57,7.6,3.45
9.02,0.07,10.57,3.37
4.16,1.79,9.29,3.27
4.3,1.16,13.26,3.86
2.95,1.97,8.94,3.07
4.5,1.16,10.6,3.51
5.94,0.67,6.23,3.33
7.72,-0.36,11.63,3.57
6.13,0.59,9.77,3.3
5.91,0.97,10.83,3.72
7.46,0.68,13,3.92
7.29,0.4,10.07,3.42
5.21,1.09,10.16,3.68
3.43,1.6,12.82,3.73
7.48,0.16,8.62,3.29
5.28,1.37,12.37,3.94
8.42,0.27,9.36,3.85
4.14,1.53,11.35,3.33
2.91,1.92,11.63,3.38
6.08,0.93,11.26,3.47
3.66,1.87,13.82,3.75
6.28,1.28,10.66,3.44
1.55,2.73,16.97,3.75
1.52,2.2,12.5,3.85
6.38,0.96,5.79,3.36
5.66,0.89,9.04,3.49
6.74,0.49,12.37,3.76
0.97,2.7,15.7,3.84
7.43,0.63,9.05,3.68
7.4,0.24,7.45,3.06
7.06,0.68,12.41,3.59
6.57,0.6,8.55,3.15
9.22,0.17,10.84,3.59
2.09,2.24,13.78,3.72
3.83,1.57,11.32,3.45
5.82,0.98,9.83,3.71
3.39,1.28,8.89,3.62
5.17,1.15,13.76,3.73
6.49,0.85,7.77,3.5
3.69,1.49,12.11,2.92
6.31,0.6,8.3,3.29
6.1,1.06,7.92,3.67
3.39,1.92,9.33,3.67
3.01,1.91,16.13,3.79
6.95,0.92,10.52,3.21
4.66,1.45,11.97,3.45
6.44,0.54,11,3.58
3.31,2.16,15.16,3.64
7.55,0.98,9.63,3.34
2.31,2.45,14.48,3.7
6.53,0.34,7.43,3.4
5.93,1.07,14.16,3.57
5.54,1.18,13.32,3.35
6.34,0.73,9.79,3.5
5.8,1.33,12.14,3.75
3.72,1.99,10.45,3.62
4.46,1.2,13.32,3.83
5.72,0.74,6.77,2.98
2.37,1.44,8.44,3.51
3.23,1.38,13.64,3.89
9.15,-0.39,12.6,3.65
2,2.88,16.54,3.84
2.52,1.86,13.92,3.69
6.98,0.49,8.44,3.23
7.18,0.35,11,3.77
6.68,1.26,11.96,3.81
5.11,0.85,9.83,3.29
5.65,1.29,10.44,3.43
3.19,1.73,13.85,3.47
3.7,1.37,8.47,3.42
4.48,1.23,12.59,3.16
3.13,2.52,13.14,3.83
6.64,0.63,10.88,3.56
1.75,2.44,15.56,3.46
2.94,1.69,10.28,3.18
2.48,1.75,12.77,3.43
5.78,0.91,9.17,3.25
2.74,1.67,13.03,3.74
6.09,1.17,10.37,3.63
7.35,-0.12,7.11,3
5.05,1.13,8.49,3.38
3.69,1.99,11.96,3.71
6.01,1.05,12.97,3.79
2.46,2.04,10.57,3.79
4.85,1.59,12.17,3.73
2.31,2.39,11.04,3.32
4.47,1.57,10.92,3.48
7.18,0.37,9.14,3.39
6.4,0.77,6.25,3.11
6.03,0.78,8.9,3.52
4.11,1.13,11.83,3.56
3.42,2,11.69,3.38
3.29,1.77,8.41,3.54
3.51,1.91,9.68,3.7
