性别,家庭所在地,月生活费支出
女,中小城市,1500
男,大型城市,2000
男,大型城市,1800
女,中小城市,1600
女,中小城市,2000
女,大型城市,2100
男,大型城市,1100
男,大型城市,1780
女,中小城市,1550
女,乡镇地区,1300
男,大型城市,2000
男,大型城市,1700
女,中小城市,1400
女,大型城市,1500
男,大型城市,1400
男,大型城市,1480
女,中小城市,2350
女,中小城市,1450
男,大型城市,1500
男,大型城市,1760
男,中小城市,1300
男,中小城市,1600
女,中小城市,1680
男,中小城市,1850
男,乡镇地区,1500
女,中小城市,1600
男,大型城市,1300
女,大型城市,1800
女,大型城市,1550
男,中小城市,1350
女,乡镇地区,1850
女,乡镇地区,2000
女,中小城市,1700
女,大型城市,1800
男,中小城市,1860
男,乡镇地区,1950
女,中小城市,1900
男,中小城市,2000
女,乡镇地区,1870
女,中小城市,1900
女,大型城市,2400
女,大型城市,2000
女,中小城市,2360
女,中小城市,2050
女,大型城市,2200
男,大型城市,2000
女,中小城市,1750
女,中小城市,2250
女,大型城市,2800
女,大型城市,1900
男,大型城市,2000
男,乡镇地区,1900
女,中小城市,2200
女,乡镇地区,1800
女,乡镇地区,1900
男,乡镇地区,1500
男,大型城市,2000
男,大型城市,1900
女,大型城市,2300
女,中小城市,1900
