²Í¹Ý±àºÅ,y,x1,x2,x3,x4,x5
1,53.2,163,168.6,6004,5,6.5
2,18.5,14.5,22.5,209,11,16
3,11.3,88.2,109.4,1919,10,18.2
4,84.7,151.6,277,7287,7,10
5,7.3,79.1,17.4,5311,15,17.5
6,17.9,60.4,93,6109,8,3.6
7,2.5,53.2,21.5,4057,17,18.5
8,27.3,108.5,114.5,4161,3,4
9,5.9,48.7,61.3,2166,10,11.6
10,23.9,142.8,129.8,11125,9,14.2
11,69.4,214.7,159.4,13937,2,2.5
12,20.6,65.6,91,4000,18,12
13,1.9,13.2,6.1,2841,14,12.8
14,3,60.9,60.3,1273,26,7.8
15,7.3,21.2,51.1,2404,34,2.7
16,46.2,114.3,73.6,6109,12,3.2
17,78.8,299.5,171.7,15571,4,7.6
18,11.1,78.9,38.8,4228,11,11
19,8.6,90,105.3,3772,15,28.4
20,48.9,160.3,161.5,6451,5,6.2
21,22.1,84,122.6,3275,9,10.8
22,11.1,78.9,38.8,4228,10,33.7
23,8.6,90,105.3,3772,14,16.5
24,48.9,160.3,161.5,6451,6,9.3
25,22.1,84,122.6,3275,10,11.6
